cost        CG2        HBCS        ScaleStar
1        11395.44        18960.83        11418.25
2        7959.17        13519.29        7956.12
3        6690.07        9255.37        7322.77
4        6037.58        6644.19        7322.77
5        5613.58        5599.21        7322.77
6        5318.1        5413.05        7322.77
7        5104.28        5303.04        7322.77
8        4943.29        5194.2        7322.77
9        4817.13        5099.05        7322.77
10        4717.39        5029.88        7322.77
11        4635.49        4971.36        7322.77
12        4567.65        4916.05        7322.77
13        4506.65        4879.32        7322.77
14        4456.26        4842.07        7322.77
15        4411.53        4797.63        7322.77
16        4372.67        4760.22        7322.77
17        4335.21        4737.69        7322.77
18        4304.14        4708.22        7322.77
19        4275.31        4687.83        7322.77
20        4251.07        4251.07        7322.77
