cost        CG2        HBCS        ScaleStar
1        4065.88        5057.61        4088.19
2        3185.91        4171.77        3195.69
3        2611.95        3658.44        2623.14
4        2217.83        3290.32        2217.27
5        2027.29        2452.36        2029.49
6        1851.73        1956.74        1852.26
7        1749.84        1779.17        1852.26
8        1665.45        1733.57        1852.26
9        1584.07        1670.6        1852.26
10        1531.87        1655.8        1852.26
11        1476.44        1612.06        1852.26
12        1440.77        1583.21        1852.26
13        1402.14        1556.58        1852.26
14        1374.1        1536.8        1852.26
15        1350.87        1528.8        1852.26
16        1323.17        1507.75        1852.26
17        1304.18        1498.19        1852.26
18        1283.76        1495.06        1852.26
19        1267.17        1490.1        1852.26
20        1251.57        1251.57        1852.26
