cost        CG2        HBCS        ScaleStar
1        4885.01        5792.81        4629.8
2        3579.2        4580.15        3583.66
3        2930.65        4142.96        2952.96
4        2488.86        3600.59        2487.8
5        2270.41        2648.31        2273.53
6        2082.14        2085.18        2080.01
7        1961.08        1988.7        2080.01
8        1871.12        1933.79        2080.01
9        1778.77        1896.73        2080.01
10        1720.25        1846.26        2080.01
11        1659.29        1804.67        2080.01
12        1616.89        1785.63        2080.01
13        1578.82        1761.43        2080.01
14        1542.74        1733.72        2080.01
15        1516.31        1718.62        2080.01
16        1487.46        1701.57        2080.01
17        1465.51        1694.39        2080.01
18        1444        1688.9        2080.01
19        1425.79        1669.73        2080.01
20        1407.97        1407.97        2080.01
