cost        CG2        HBCS        ScaleStar
1        6385.39        9449.28        6388.79
2        4842.64        7315.36        4858.36
3        3907.99        5311.7        3909.05
4        3426.15        3785.73        3423.63
5        3132.76        3533.67        3390.41
6        2917.04        2934.41        3390.41
7        2777.81        2850.26        3390.41
8        2649.83        2801.19        3390.41
9        2553.74        2725.28        3390.41
10        2484.05        2670.49        3390.41
11        2414.33        2619.16        3390.41
12        2362.4        2600.07        3390.41
13        2318.55        2566.33        3390.41
14        2277.27        2536.02        3390.41
15        2246.2        2513.19        3390.41
16        2214.74        2489.71        3390.41
17        2187.91        2470.02        3390.41
18        2164.34        2462.48        3390.41
19        2140.94        2437.58        3390.41
20        2120.69        2120.69        3390.41
