cost        CG2        HBCS        ScaleStar
1        5556.34        7942.5        5479.84
2        4403.74        6503.88        4412.87
3        3437.43        5300.56        3431.76
4        3069.8        3831.97        3074.98
5        2759.7        2837.34        2802.76
6        2584.66        2590.65        2802.76
7        2426.71        2456.15        2802.76
8        2324.38        2397.14        2802.76
9        2226.19        2357.46        2802.76
10        2159.29        2333.65        2802.76
11        2093.73        2302.17        2802.76
12        2046.82        2268.48        2802.76
13        1997.25        2247.27        2802.76
14        1962.27        2201.6        2802.76
15        1928.08        2168.59        2802.76
16        1901.29        2137.74        2802.76
17        1873.96        2132.93        2802.76
18        1851.01        2117.41        2802.76
19        1830.2        2100.45        2802.76
20        1810.91        1810.91        2802.76
