cost        CG2        HBCS        ScaleStar
1        5033.1        7159.8        4920.69
2        3949.77        6031.42        3958.06
3        3121.1        4722.71        3078.6
4        2751.98        3492.33        2755.99
5        2484.27        2623.46        2509.06
6        2309.81        2313.67        2509.06
7        2175.78        2193.02        2509.06
8        2080.35        2154.8        2509.06
9        1995.31        2118.7        2509.06
10        1933.38        2089.39        2509.06
11        1873.92        2051.67        2509.06
12        1833.53        2034.46        2509.06
13        1790.73        2004.64        2509.06
14        1758.48        1983.3        2509.06
15        1727.56        1947.42        2509.06
16        1702.95        1927.51        2509.06
17        1679.03        1906.77        2509.06
18        1658.43        1895.5        2509.06
19        1638.7        1872.03        2509.06
20        1621.9        1621.9        2509.06
