cost        CG2        HBCS        ScaleStar
1        9006.5        13637.87        9009.47
2        6262.77        10374.11        6265.75
3        5220.28        7633.36        5300.22
4        4696.96        4949.9        5300.22
5        4349.47        4403.31        5300.22
6        4083.68        4150.76        5300.22
7        3898.81        4040.23        5300.22
8        3761.31        3932.73        5300.22
9        3648.95        3867.19        5300.22
10        3558.03        3819.48        5300.22
11        3485.31        3766.01        5300.22
12        3426.41        3726.53        5300.22
13        3374.34        3683.61        5300.22
14        3329.82        3653.74        5300.22
15        3289.17        3627.72        5300.22
16        3255.95        3586.19        5300.22
17        3224.76        3561.02        5300.22
18        3197.16        3538.15        5300.22
19        3171.04        3518.28        5300.22
20        3150        3150        5300.22
