cost        CG2        HBCS        ScaleStar
1        7095.46        10613.72        7096.74
2        4963.45        7689.13        4920.1
3        4214.46        6241.46        4167.81
4        3702.05        4380.02        3997.14
5        3401.59        3403.35        3997.14
6        3192.6        3220.07        3997.14
7        3053.05        3134.06        3997.14
8        2934.28        3077.44        3997.14
9        2843.08        3033.66        3997.14
10        2765.85        2973.15        3997.14
11        2703.68        2932.88        3997.14
12        2655.79        2897.8        3997.14
13        2608.8        2857.09        3997.14
14        2569.36        2834.68        3997.14
15        2536.38        2813.23        3997.14
16        2509.06        2784.04        3997.14
17        2482.24        2759.74        3997.14
18        2459.44        2736.88        3997.14
19        2438.25        2726.75        3997.14
20        2419.61        2419.61        3997.14
