cost        CG2        HBCS        ScaleStar
1        3380.12        3967.05        3416.25
2        2533.52        3254.11        2533.31
3        2211.59        2698.85        2216.26
4        1887.52        2087.49        1906.93
5        1649.03        1909.13        1654.98
6        1541.79        1794.1        1546.04
7        1436.67        1505.88        1436.74
8        1344.13        1344.13        1361.02
9        1289.34        1311.12        1361.02
10        1242.86        1297.54        1361.02
11        1189        1289.29        1361.02
12        1154.55        1264        1361.02
13        1129.04        1261.09        1361.02
14        1096.61        1244.77        1361.02
15        1070.18        1244.77        1361.02
16        1052.64        1209        1361.02
17        1030.8        1202.1        1361.02
18        1011.71        1175.84        1361.02
19        996.4        1165.07        1361.02
20        980.45        980.45        1361.02
