cost        CG2        HBCS        ScaleStar
1        3682.1        4310.04        3690.6
2        2759.85        3413.08        2767.29
3        2420.49        2814.04        2427.15
4        2059.02        2274.29        2058.81
5        1796.73        2040.4        1801.19
6        1678.51        1953.98        1680.92
7        1562.62        1619.43        1564.75
8        1468.17        1471.01        1479.04
9        1407.57        1433.76        1479.04
10        1348.28        1425.2        1479.04
11        1296.05        1404.78        1479.04
12        1257.79        1384.74        1479.04
13        1227.24        1373.88        1479.04
14        1191.71        1361.15        1479.04
15        1166.16        1343.69        1479.04
16        1144.05        1322.56        1479.04
17        1121.22        1316.89        1479.04
18        1102.13        1294.52        1479.04
19        1085.55        1294.52        1479.04
20        1068.53        1068.53        1479.04
