cost        CG2        HBCS        ScaleStar
1        7492.54        11181.25        7492.11
2        5494.19        8493.41        5498.86
3        4521.58        5903.99        4528.09
4        3956.54        4707.37        4052.23
5        3650.96        3835.98        4052.23
6        3403.65        3441.02        4052.23
7        3221.36        3346.26        4052.23
8        3098.78        3244.99        4052.23
9        2989.92        3152.5        4052.23
10        2900.56        3127.59        4052.23
11        2835.2        3087.63        4052.23
12        2775.08        3043.64        4052.23
13        2722.21        3019.1        4052.23
14        2681.5        2974.69        4052.23
15        2642.33        2945.88        4052.23
16        2607.74        2916.93        4052.23
17        2579.04        2896.79        4052.23
18        2552.03        2876.78        4052.23
19        2527.73        2858.41        4052.23
20        2504.98        2504.98        4052.23
