cost        CG2        HBCS        ScaleStar
1        4900.49        6115.78        4659.3
2        3681.8        5284.55        3689.03
3        2902.99        4253.25        2911.77
4        2566.32        3409.62        2567.02
5        2340.39        2442.82        2312.88
6        2144.86        2154.54        2247.64
7        2034.24        2066.4        2247.64
8        1918.14        2000.37        2247.64
9        1847.14        1926.56        2247.64
10        1778.16        1893.26        2247.64
11        1730.92        1871.68        2247.64
12        1681.96        1854.65        2247.64
13        1647.25        1835.03        2247.64
14        1609.82        1825.54        2247.64
15        1584.37        1797.66        2247.64
16        1556.73        1789.12        2247.64
17        1536.18        1766.25        2247.64
18        1514.2        1749.93        2247.64
19        1496.89        1727.33        2247.64
20        1479.99        1706.09        2247.64
