Idx    Imp(HBCS)    StdDv    Imp(ScaleStar)    StdDv
0        4.89        3.95        1.74        2.50
1        7.03        5.27        5.59        4.17
2        6.32        4.52        6.69        5.05
3        6.98        5.04        8.04        5.78
4        6.40        4.56        9.36        6.84
5        6.55        4.65        10.68        7.64
6        6.13        4.37        10.88        7.78
7        6.11        4.36        11.58        8.23
8        6.40        4.54        12.77        9.09
9        6.08        4.34        14.34        10.17
10        6.04        4.29        13.71        9.77
11        5.86        4.17        14.17        10.06
12        5.72        4.05        15.29        10.84
13        5.89        4.17        15.56        11.03
14        5.86        4.15        15.66        11.12
15        5.66        4.01        16.02        11.37
16        5.66        4.01        16.31        11.56
17        5.49        3.89        16.50        11.71
18        5.61        3.97        16.89        11.96
19        5.58        3.96        17.75        12.57
