cost        CG2        HBCS        ScaleStar
1        5888.91        8648.37        5888.91
2        4586.71        6975.57        4594.36
3        3638.61        5054.32        3637.33
4        3247.15        3695.66        3218.57
5        2922.55        3194.31        3064.43
6        2739.77        2732.94        3064.43
7        2569.54        2616.78        3064.43
8        2452.48        2574.23        3064.43
9        2370.68        2530.56        3064.43
10        2291.04        2487.18        3064.43
11        2235.18        2434.27        3064.43
12        2178.88        2395.13        3064.43
13        2136.04        2351.36        3064.43
14        2097.12        2335.75        3064.43
15        2062.3        2320.83        3064.43
16        2037.52        2303.14        3064.43
17        2009.69        2291.84        3064.43
18        1986.41        2272.9        3064.43
19        1964.94        2244.4        3064.43
20        1945.76        1945.76        3064.43
