cost        CG2        HBCS        ScaleStar
1        6971.19        10239.72        6967.15
2        5438        8393.88        5450.25
3        4308.7        6245.68        4311.15
4        3802.67        4197.67        3806.92
5        3461.11        3661.49        3622.58
6        3236.52        3262.38        3622.58
7        3046.94        3100.37        3622.58
8        2904.49        3046.82        3622.58
9        2802.67        3002.53        3622.58
10        2712.65        2949.15        3622.58
11        2646.69        2898.44        3622.58
12        2581.59        2852.15        3622.58
13        2531.48        2817.08        3622.58
14        2484.44        2782.25        3622.58
15        2445.48        2750.33        3622.58
16        2413.5        2727.54        3622.58
17        2379.68        2709.34        3622.58
18        2352.54        2695.6        3622.58
19        2327.57        2673.9        3622.58
20        2303.8        2303.8        3622.58
