cost        CG2        HBCS        ScaleStar
1        5869.89        8558.61        5874.35
2        4589.79        6897.01        4601.05
3        3639.63        5250.06        3638.42
4        3244.98        3672.04        3209.35
5        2918.83        3162.64        3053.24
6        2731.89        2701.83        3053.24
7        2566.58        2615.63        3053.24
8        2446.55        2569.04        3053.24
9        2366.67        2519.81        3053.24
10        2287.49        2487.33        3053.24
11        2230.14        2450.36        3053.24
12        2176.41        2386.9        3053.24
13        2132.57        2368.12        3053.24
14        2094.46        2345.27        3053.24
15        2061.04        2326.2        3053.24
16        2034.67        2301.89        3053.24
17        2004.89        2288.89        3053.24
18        1981.77        2265.02        3053.24
19        1961.42        2243.26        3053.24
20        1941.68        1941.68        3053.24
