cost        CG2        HBCS        ScaleStar
1        11347.09        18359.69        11355.37
2        7912.38        13368.03        7918.51
3        6637.73        9199.31        7133.67
4        5957.77        6740.65        7133.67
5        5536.34        5560.83        7133.67
6        5247.57        5332.2        7133.67
7        5034.48        5215.06        7133.67
8        4871.28        5115.62        7133.67
9        4746.07        5034.7        7133.67
10        4641.93        4952.92        7133.67
11        4556.19        4901.13        7133.67
12        4485.63        4843.85        7133.67
13        4425.62        4791.93        7133.67
14        4372.12        4746.34        7133.67
15        4326.88        4720.25        7133.67
16        4285.31        4690.01        7133.67
17        4249.18        4651.66        7133.67
18        4217.08        4620.88        7133.67
19        4188        4596.81        7133.67
20        4163.34        4163.34        7133.67
