cost        CG2        HBCS        ScaleStar
1        3194.62        3661.7        3212.48
2        2356.74        3088.38        2356.74
3        2103.01        2581.35        2104.92
4        1863.95        2113        1872.88
5        1616.18        1739.43        1657.97
6        1461.48        1519.56        1460.98
7        1383.42        1388.52        1381.22
8        1302.74        1315.98        1301.18
9        1223.23        1252.73        1237.29
10        1174.81        1183.14        1211.29
11        1133.38        1170.14        1211.29
12        1094.17        1170.14        1211.29
13        1057.45        1161.04        1211.29
14        1034.35        1144.26        1211.29
15        1008.49        1134.02        1211.29
16        985.22        1134.02        1211.29
17        966.25        1111.66        1211.29
18        949.99        1111.66        1211.29
19        933.2        1111.66        1211.29
20        917.12        917.12        1211.29
