cost        CG2        HBCS        ScaleStar
1        2288.48        2575.99        2313.98
2        1688.38        2141.21        1688.38
3        1509.66        1904.91        1514.76
4        1335.2        1463.98        1338.81
5        1163.71        1320.61        1161.38
6        1049.67        1091.68        1047.69
7        994.85        993.5        995.7
8        935.7        956.38        934.42
9        891.88        964.53        889.09
10        842.06        868.56        867.42
11        813.61        830.34        867.42
12        791.28        829.66        867.42
13        762.09        816.3        867.42
14        740.83        816.3        867.42
15        726.34        816.3        867.42
16        712.55        803.67        867.42
17        692.09        803.67        867.42
18        681.2        803.67        867.42
19        669.57        796.65        867.42
20        656.76        656.76        867.42
