cost        CG2        HBCS        ScaleStar
1        3353.9        3687.95        3341.58
2        2441.64        3105.7        2464.66
3        2187.49        2635.01        2216.03
4        1938.65        2252.3        1941.27
5        1683.44        1867.11        1694.77
6        1523.28        1698.52        1527.89
7        1434.88        1454.79        1445.58
8        1351.65        1368.94        1356.05
9        1268        1297.22        1280.82
10        1221.64        1227.75        1257.38
11        1179.39        1223.06        1257.38
12        1138.34        1212.86        1257.38
13        1097.47        1196.32        1257.38
14        1071.84        1189.79        1257.38
15        1047.89        1189.79        1257.38
16        1027.01        1179.25        1257.38
17        1002.12        1171.1        1257.38
18        986.81        1164.98        1257.38
19        969.1        1148.62        1257.38
20        952.01        952.01        1257.38
