cost        CG2        HBCS        ScaleStar
1        2989.15        3585.42        3021.88
2        2289.17        2853.58        2296.19
3        1942.8        2534.61        1942.59
4        1589.2        2106.78        1589.2
5        1471.48        1951.87        1471.26
6        1370.93        1500.62        1356.94
7        1259.29        1257.56        1281.32
8        1207.96        1216.7        1281.32
9        1152.86        1199.31        1281.32
10        1099.93        1170.79        1281.32
11        1067.09        1158.69        1281.32
12        1039.26        1149.58        1281.32
13        1007.35        1134.36        1281.32
14        988.75        1109.36        1281.32
15        963.22        1095.35        1281.32
16        947.53        1087.73        1281.32
17        932.71        1071.19        1281.32
18        915.89        1064.23        1281.32
19        903.33        1057.67        1281.32
20        890.5        890.5        1281.32
