cost        CG2        HBCS        ScaleStar
1        3853.62        4642.64        3888.9
2        2958.58        3885.92        2968.28
3        2506.59        2810.6        2526.07
4        2115.38        2741.12        2072.95
5        1903.44        2455.23        1904.89
6        1750.8        1862.22        1751.79
7        1625.81        1709.76        1650.18
8        1549.42        1570.02        1650.18
9        1480.79        1555.97        1650.18
10        1419.31        1537.08        1650.18
11        1372.75        1500.99        1650.18
12        1335.17        1499.07        1650.18
13        1300.42        1453.99        1650.18
14        1270.78        1415.39        1650.18
15        1244.01        1408.91        1650.18
16        1221.85        1391.91        1650.18
17        1203.5        1377.68        1650.18
18        1182.97        1366.47        1650.18
19        1166.47        1355.64        1650.18
20        1150.09        1150.09        1650.18
