cost        CG2        HBCS        ScaleStar
1        3446.62        4089.86        3442.8
2        2626.16        3368.42        2629.35
3        2225.18        2617.02        2223.47
4        1875.75        2398.72        1818.66
5        1684.43        2179.91        1685.71
6        1552.54        1760.93        1553.68
7        1444.34        1445.54        1463.29
8        1372.91        1408.17        1463.29
9        1313.05        1394.11        1463.29
10        1258.96        1361.83        1463.29
11        1219.65        1321.16        1463.29
12        1187.28        1305.58        1463.29
13        1153.08        1294.95        1463.29
14        1128.41        1280.03        1463.29
15        1102.43        1262.49        1463.29
16        1082.35        1242.76        1463.29
17        1064.88        1226.91        1463.29
18        1047.09        1218.53        1463.29
19        1032.76        1210.46        1463.29
20        1019.08        1019.08        1463.29
