cost        CG2        HBCS        ScaleStar
1        3964.98        4791.18        3984.31
2        3032.31        3942.24        3035.5
3        2565.45        2961.98        2571.4
4        2105.81        2934.21        2126.57
5        1947.15        2245.99        1948.21
6        1794.64        2054.74        1800.02
7        1666.36        1770.1        1690.94
8        1587.31        1627.28        1690.94
9        1524.24        1595.98        1690.94
10        1455.88        1563.11        1690.94
11        1411.52        1554.41        1690.94
12        1364.64        1536.95        1690.94
13        1331.02        1497.81        1690.94
14        1306.16        1470.03        1690.94
15        1273.77        1447.68        1690.94
16        1250.55        1430.68        1690.94
17        1232.79        1406.88        1690.94
18        1210.11        1401.92        1690.94
19        1193.95        1393.97        1690.94
20        1177.72        1177.72        1690.94
