cost        CG2        HBCS        ScaleStar
1        4054.48        4878.76        4082.95
2        3088.66        3988.81        3094.82
3        2626.48        3097.16        2623.29
4        2220.03        2826.58        2194.75
5        1988.83        2667.42        1988.55
6        1833.71        2059.24        1838.45
7        1699.94        1720.94        1724.63
8        1618.59        1659.51        1724.63
9        1551.86        1628.4        1724.63
10        1482.59        1610.9        1724.63
11        1436.47        1572.11        1724.63
12        1396.71        1542.86        1724.63
13        1358.86        1526.58        1724.63
14        1329.83        1493.93        1724.63
15        1299.15        1475.41        1724.63
16        1275.65        1455.9        1724.63
17        1255.49        1439.9        1724.63
18        1234.63        1434.08        1724.63
19        1217.84        1430.75        1724.63
20        1201.08        1201.08        1724.63
