cost        CG2        HBCS        ScaleStar
1        9921.7        14814.44        9934.24
2        6893.36        11343.79        6893.93
3        5813.08        8501.56        5747.21
4        5180.98        5774.37        5713.92
5        4753.42        4764.51        5713.92
6        4473.99        4518.99        5713.92
7        4265.73        4423.41        5713.92
8        4108.92        4346.85        5713.92
9        3995.59        4247.35        5713.92
10        3892.62        4178.38        5713.92
11        3807.71        4120.67        5713.92
12        3738.45        4079.93        5713.92
13        3676.68        4036.7        5713.92
14        3628.44        3991.97        5713.92
15        3583.46        3952.86        5713.92
16        3543.27        3931.94        5713.92
17        3508.73        3885.3        5713.92
18        3477.63        3858.4        5713.92
19        3447.53        3838.74        5713.92
20        3422.82        3422.82        5713.92
