cost        CG2        HBCS        ScaleStar
1        8411.81        12671.38        8424.99
2        5851.9        9459.86        5848.5
3        4935.03        7093.99        4873.9
4        4414.69        4924.47        4844.29
5        4048.9        4201.71        4844.29
6        3798.02        3845.34        4844.29
7        3621.55        3756.29        4844.29
8        3491.28        3678.37        4844.29
9        3391.69        3596.6        4844.29
10        3304.42        3535.99        4844.29
11        3234.25        3493.57        4844.29
12        3171.98        3463.76        4844.29
13        3121.24        3434.16        4844.29
14        3078.78        3387.26        4844.29
15        3042.57        3355.01        4844.29
16        3007.82        3328.93        4844.29
17        2978.92        3305.24        4844.29
18        2951.44        3285.49        4844.29
19        2926.7        3259.06        4844.29
20        2906.58        2906.58        4844.29
