cost        CG2        HBCS        ScaleStar
1        7966.64        11984.2        7980.24
2        5632.96        8894.91        5650.1
3        4751.16        6587.51        4755.05
4        4189.2        5232.46        4407.3
5        3827.58        3850.25        4407.3
6        3618.69        3664.2        4407.3
7        3429.95        3523.11        4407.3
8        3289.73        3449.89        4407.3
9        3185.97        3399.13        4407.3
10        3101.02        3335.55        4407.3
11        3027.39        3304        4407.3
12        2965.46        3237.97        4407.3
13        2916.03        3213.17        4407.3
14        2871.84        3175.37        4407.3
15        2831.66        3148.31        4407.3
16        2796.24        3114.18        4407.3
17        2767.32        3097.24        4407.3
18        2741.11        3076.15        4407.3
19        2715.69        3055.49        4407.3
20        2694.45        3043.09        4407.3
