cost        CG2        HBCS        ScaleStar
1        7724.15        11553.26        7733.71
2        5470.38        8411.87        5499.42
3        4599.2        6430.8        4599.76
4        4057.89        4927.51        4266.74
5        3709.24        3712.11        4266.74
6        3497.75        3538.76        4266.74
7        3318.74        3416.15        4266.74
8        3181.99        3326.78        4266.74
9        3083.68        3280.68        4266.74
10        3001.02        3241.53        4266.74
11        2928.84        3189.91        4266.74
12        2869.35        3144.32        4266.74
13        2823.42        3106.22        4266.74
14        2778.03        3062.45        4266.74
15        2738.69        3041.13        4266.74
16        2706.31        3026.43        4266.74
17        2678.1        3004.43        4266.74
18        2651.76        2983.32        4266.74
19        2627.25        2958.65        4266.74
20        2605.45        2605.45        4266.74
