cost        CG2        HBCS        ScaleStar
1        7360.51        11036.41        7362.64
2        5273.12        8053.05        5216.6
3        4384.1        6015.35        4390.12
4        3866.94        4741.15        4059.32
5        3536.64        3538.12        4059.32
6        3337.43        3370.41        4059.32
7        3162.66        3233.72        4059.32
8        3032.58        3173.14        4059.32
9        2936.61        3128.44        4059.32
10        2858.72        3085.07        4059.32
11        2791.36        3036.24        4059.32
12        2733.23        2989.75        4059.32
13        2689.39        2953.2        4059.32
14        2648.21        2924.26        4059.32
15        2610.76        2901.71        4059.32
16        2578.73        2883.76        4059.32
17        2551.79        2865.33        4059.32
18        2526.74        2836.84        4059.32
19        2503.23        2815.44        4059.32
20        2483.11        2483.11        4059.32
