cost        CG2        HBCS        ScaleStar
1        801.42        993.31        928.08
2        650.76        898.96        850.72
3        598.06        813.11        598.06
4        505.62        813.11        636.74
5        410.07        697.09        550.89
6        379.26        512.21        512.21
7        410.07        419.78        410.07
8        376.07        388.96        410.07
9        347.45        373.56        368.56
10        332.05        360.66        368.56
11        308.04        332.05        368.56
12        326.45        332.05        337.75
13        308.04        322.8        337.75
14        298.79        322.8        337.75
15        290.21        322.8        337.75
16        293.83        313.1        337.75
17        283.63        313.1        337.75
18        275.04        313.1        337.75
19        272.13        313.1        337.75
20        272.13        272.13        337.75
