cost        CG2        HBCS        ScaleStar
1        991.88        1015.5        1013.38
2        821.66        956.64        758.38
3        692.92        759.01        697.39
4        596.03        725.01        608.56
5        516.09        679.11        602.9
6        516.09        628.11        523
7        474.33        504.15        474.33
8        439.27        504.15        454.71
9        408.74        439.27        436.44
10        383.77        431.16        404.14
11        367.23        420.63        404.14
12        373.54        420.63        387.92
13        358.1        396.69        387.92
14        340.81        396.69        387.92
15        331.12        377.06        387.92
16        335.95        374.23        387.92
17        326.94        372.11        387.92
18        317.42        372.11        387.92
19        312.55        372.11        387.92
20        312.55        312.55        387.92
